order_sk,order_id,user_id,final_total_amount,finish_time,finish_time_hour
1,"2294359932054536986	",200528,162.01,2020-04-24,17
2,"2294359932054536986	",200528,162.01,2020-04-24,12
3,"2294444024058086220	",201808,77.52,2020-04-24,8
4,"2294444024058086220	",201808,77.52,2020-04-24,19
34,"2297951447913857849	",201808,77.52,2020-04-29,3
35,"2297951447913857849	",201808,203.68,2020-04-29,15
5,"2294584263154074236	",200859,217.57,2020-04-24,20
5992,"2305871509291270321	",200859,50.9,2020-05-10,7
6,"2295716521449619559	",202291,39.33,2020-04-26,11
7,"2295740594749702229	",201974,1387.01,2020-04-26,5
8,"2295740594749702229	",201974,1387.01,2020-04-26,23
9,"2295740594749702229	",201974,1387.01,2020-04-26,6
10,"2295740594749702229	",201974,1387.01,2020-04-26,24
11,"2295902490203259134	",202318,462.94,2020-04-26,13
12,"2296164324487463110	",201677,30.07,2020-04-26,21
13,"2296400480990920715	",202377,416.64,2020-04-27,1
14,"2296628237930857206	",202436,91.41,2020-04-27,8
15,"2296628237930857206	",202436,91.41,2020-04-27,10
16,"2296628237930857206	",202436,91.41,2020-04-27,16
17,"2296972701060825130	",202449,23.13,2020-04-28,17
18,"2297016008231092565	",200863,509.24,2020-04-28,22
19,"2297034737199350540	",201791,6.94,2020-04-28,24
20,"2297034737199350540	",201791,6.94,2020-04-28,6
7797,"2307856137350808040	",201791,4.63,2020-05-13,8
21,"2297174044555871159	",200750,254.61,2020-04-28,2
22,"2297174044555871159	",200750,254.61,2020-04-28,2
23,"2297252054407578606	",202381,164.33,2020-04-28,17
24,"2297252054407578606	",202381,164.33,2020-04-28,21
25,"2297252054407578606	",202381,164.33,2020-04-28,3
26,"2297729407910937541	",200426,0.02,2020-04-29,13
27,"2297729407910937541	",200426,0.02,2020-04-29,10
585,"2298656722245386626	",200426,0.23,2020-04-30,18
586,"2298656722245386626	",200426,0.23,2020-04-30,11
2799,"2301647209499722033	",200426,104.14,2020-05-04,16
3523,"2302839811741843578	",200426,69.42,2020-05-06,1
3851,"2303251336734441788	",200426,0.02,2020-05-06,15
3852,"2303251336734441788	",200426,0.02,2020-05-06,12
3853,"2303251336734441788	",200426,0.02,2020-05-06,17
3854,"2303251336734441788	",200426,2.29,2020-05-06,12
28,"2297770405059888020	",202559,300.9,2020-04-29,16
29,"2297817716758675935	",202534,6.23,2020-04-29,6
30,"2297817716758675935	",202534,6.23,2020-04-29,12
31,"2297818341995184662	",201753,7.85,2020-04-29,4
32,"2297896107595793042	",202628,300.9,2020-04-29,7
33,"2297947579247231353	",204170,49.98,2020-04-29,3
9575,"2310222112494715269	",204170,277.52,2020-05-16,23
36,"2297988436574864215	",200315,115.72,2020-04-29,22
37,"2297988436574864215	",200315,317.11,2020-04-29,11
38,"2297989017720849297	",201891,162.01,2020-04-29,11
39,"2297989017720849297	",201891,162.01,2020-04-29,9
40,"2297991320922226852	",200324,9.24,2020-04-29,15
41,"2297991320922226852	",200324,21.97,2020-04-29,13
1046,"2299293504800555880	",200324,4.63,2020-05-01,7
1047,"2299293504800555880	",200324,4.63,2020-05-01,24
5026,"2304508754915229868	",200324,34.7,2020-05-08,14
5027,"2304508754915229868	",200324,11.55,2020-05-08,9
5939,"2305823978339435223	",200324,0.23,2020-05-10,13
5940,"2305823978339435223	",200324,0.23,2020-05-10,8
5941,"2305823978339435223	",200324,0.23,2020-05-10,5
5942,"2305823978339435223	",200324,2.29,2020-05-10,14
5943,"2305823978339435223	",200324,0.23,2020-05-10,8
5944,"2305823978339435223	",200324,0.02,2020-05-10,2
9884,"2310782475032330359	",200324,3.45,2020-05-17,6
9885,"2310782475032330359	",200324,0.44,2020-05-17,24
42,"2297993149328392585	",202261,23.12,2020-04-29,9
43,"2297993157859606924	",200668,161.78,2020-04-29,3
143,"2298079506071552034	",200668,85.63,2020-04-29,1
155,"2298094882843001272	",200668,25.44,2020-04-29,20
44,"2297993489704550822	",201587,43.96,2020-04-29,22
45,"2297993830969901527	",202700,20.81,2020-04-29,17
46,"2297995500990759592	",202679,300.9,2020-04-29,19
47,"2297997293107807087	",201487,254.61,2020-04-29,21
48,"2297998653177987103	",202671,300.9,2020-04-29,3
49,"2298000635255062805	",201250,18.5,2020-04-29,19
50,"2298001389550305634	",202703,203.68,2020-04-29,1
1220,"2299423965656908610	",202703,9.24,2020-05-01,14
51,"2298002125248004522	",202704,346.97,2020-04-29,14
52,"2298002162359206320	",201766,312.48,2020-04-29,16
53,"2298002502676644300	",200250,18.5,2020-04-29,11
54,"2298002502676644300	",200250,856.46,2020-04-29,13
236,"2298197624768954873	",200250,856.46,2020-04-29,13
237,"2298197624768954873	",200250,18.5,2020-04-29,17
55,"2298004034688123530	",200831,83.31,2020-04-29,12
56,"2298004151876977305	",201883,208.31,2020-04-29,4
57,"2298004518056493760	",201310,162.01,2020-04-29,5
58,"2298004997423497997	",200090,138.63,2020-04-29,18
59,"2298006362988217260	",202705,6.23,2020-04-29,16
60,"2298006914606302181	",202212,138.63,2020-04-29,15
61,"2298007461744869422	",202701,381.92,2020-04-29,1
62,"2298009757589438761	",202611,12.71,2020-04-29,15
63,"2298009757589438761	",202611,109.24,2020-04-29,19
64,"2298009757589438761	",202611,11.55,2020-04-29,9
65,"2298009757589438761	",202611,300.9,2020-04-29,20
1633,"2300016829973660468	",202611,20.81,2020-05-02,6
66,"2298012983688692346	",202692,81,2020-04-29,18
569,"2298644555047633841	",202692,1387.01,2020-04-30,7
592,"2298661103766340513	",202692,1387.01,2020-04-30,19
822,"2298822468086792918	",202692,810.16,2020-04-30,1
67,"2298014448792634130	",202098,16.18,2020-04-29,8
68,"2298014487472505625	",201439,77.52,2020-04-29,22
69,"2298014603872830244	",202697,6.92,2020-04-29,5
70,"2298014603872830244	",202697,5.07,2020-04-29,14
71,"2298014603872830244	",202697,3.68,2020-04-29,12
72,"2298018560376570085	",202712,20.81,2020-04-29,4
3003,"2302122841081905852	",202712,208.08,2020-05-05,19
73,"2298018598116917482	",202706,29.14,2020-04-29,18
74,"2298020220926689678	",202649,138.87,2020-04-29,1
