item_sk,item_id,a1,a2,a3,cate,brand
1,10,3,1,1,8,489
2,100002,3,2,2,8,489
3,100003,1,-1,-1,8,30
4,100006,1,2,1,8,545
5,10001,-1,1,2,8,244
6,100016,3,-1,2,8,214
7,100029,3,2,2,8,214
8,10003,3,1,2,8,214
9,100045,2,2,2,8,124
10,100057,3,1,2,8,306
11,100069,1,2,-1,8,403
12,100076,3,2,1,8,214
13,100097,1,1,2,8,545
14,10011,3,1,1,8,214
15,100112,3,1,2,8,489
16,100117,-1,1,2,8,174
17,100119,2,1,2,8,812
18,100129,3,1,2,8,214
19,100134,3,1,2,8,214
20,100137,1,-1,1,8,403
21,100141,3,1,2,8,214
22,10015,2,1,1,8,124
23,100150,3,-1,-1,8,214
24,100152,3,1,-1,8,306
25,100154,3,1,1,8,489
26,100155,3,2,2,8,214
27,100172,3,1,1,8,214
28,100174,2,2,1,8,812
29,100177,3,2,1,8,489
30,100183,3,-1,2,8,489
31,100201,3,1,1,8,489
32,100209,3,1,2,8,214
33,100215,3,1,1,8,489
34,100253,2,2,2,8,124
35,100272,3,-1,2,8,489
36,100285,3,1,1,8,489
37,100290,3,1,2,8,214
38,100299,3,1,2,8,214
39,100302,3,1,2,8,214
40,10031,2,1,2,8,635
41,100310,3,2,-1,8,214
42,100312,3,2,1,8,489
43,100318,3,1,-1,8,306
44,100330,1,1,2,8,545
45,10034,2,1,1,8,635
46,100344,3,1,1,8,214
47,100351,1,-1,2,8,885
48,100353,3,-1,1,8,489
49,100356,3,1,1,8,214
50,100361,2,1,2,8,812
51,100362,1,-1,1,8,658
52,100364,3,1,2,8,214
53,10037,1,-1,2,8,658
54,100372,-1,-1,1,8,321
55,100377,3,1,1,8,214
56,10038,-1,1,-1,8,790
57,100390,-1,1,2,8,875
58,100392,3,1,1,8,489
59,100399,3,1,2,8,489
60,100405,1,1,2,8,30
61,100431,2,1,1,8,812
62,100434,2,1,2,8,124
63,100436,3,1,2,8,214
64,100439,2,1,2,8,124
65,100440,2,1,2,8,812
66,100444,3,-1,2,8,489
67,100450,3,1,2,8,489
68,100456,3,1,1,8,489
69,100457,1,1,2,8,545
70,100462,3,1,2,8,214
71,100465,3,1,2,8,489
72,100466,3,1,1,8,306
73,10047,3,-1,2,8,489
74,100486,-1,1,1,8,766
75,1005,1,1,2,8,800
76,10051,3,-1,2,8,489
77,100516,1,2,1,8,30
78,100521,3,1,2,8,214
79,100536,1,-1,-1,8,800
80,100555,2,1,2,8,812
81,100557,1,2,1,8,545
82,100565,3,1,2,8,214
83,100567,3,1,2,8,214
84,10057,-1,-1,1,8,321
85,100577,-1,1,1,8,321
86,10058,3,1,2,8,214
87,100582,1,1,1,8,693
88,100584,2,1,2,8,124
89,100585,3,2,2,8,214
90,100586,3,1,-1,8,306
91,100589,3,2,2,8,214
92,100595,3,1,1,8,489
93,100603,3,1,2,8,214
94,100608,1,1,1,8,30
95,100613,1,1,2,8,658
96,100616,1,1,1,8,30
97,100659,1,2,2,8,403
98,100672,3,1,1,8,214
99,100677,1,1,2,8,545
100,100688,3,2,1,8,214
101,10069,1,-1,2,8,545
102,100694,1,1,1,8,545
103,100724,2,1,2,8,623
104,100728,3,2,2,8,489
105,100734,3,1,1,8,214
106,100742,3,1,1,8,214
107,100743,2,1,2,8,623
108,100744,3,-1,2,8,214
109,100748,3,1,1,8,214
110,100762,3,2,2,8,214
111,100767,3,2,2,8,489
112,100770,3,1,2,8,571
113,100783,3,1,2,8,214
114,100785,-1,-1,1,8,556
115,100796,3,1,2,8,489
116,100797,-1,-1,1,8,801
117,100799,3,2,-1,8,214
118,100802,3,1,2,8,214
119,100803,3,1,2,8,214
120,100812,2,1,2,8,623
121,100814,3,2,2,8,489
122,100833,3,-1,2,8,214
123,100834,1,1,-1,8,885
124,100838,3,2,2,8,214
125,100846,3,2,2,8,489
126,100852,2,1,2,8,101
127,100855,3,1,2,8,214
128,100857,3,2,2,8,214
129,100868,3,-1,2,8,489
130,100869,3,2,2,8,214
131,100876,3,-1,-1,8,489
132,100881,3,2,1,8,489
133,100887,2,2,-1,8,623
134,10089,1,1,2,8,596
135,100893,3,2,2,8,214
136,1009,1,2,2,8,545
137,100902,3,-1,2,8,214
138,100906,3,1,2,8,214
139,100908,2,1,1,8,812
140,100914,3,2,2,8,214
141,100918,3,1,2,8,489
142,100922,3,1,2,8,214
143,100937,3,2,1,8,306
144,100940,3,1,1,8,214
145,100947,3,1,2,8,489
146,100950,1,1,2,8,800
147,100954,3,1,2,8,489
148,100961,3,1,1,8,489
149,100996,3,1,1,8,214
150,100999,-1,-1,1,8,605
151,101000,3,1,-1,8,489
152,101001,1,1,2,8,885
