tag_rule,tag_id,tag_level,tag_name,tag_level_second,tag_id_string,tag_name_cn
4,20,2,一般保持用户,1,CONSUME_04_20,rfm客户模型
1,21,2,重要价值用户,1,CONSUME_04_21,rfm客户模型
2,22,2,重要保持用户,1,CONSUME_04_22,rfm客户模型
3,23,2,一般价值用户,1,CONSUME_04_23,rfm客户模型
1,24,2,高消费用户,2,CONSUME_02_24,消费水平
2,25,2,普通消费用户,2,CONSUME_02_25,消费水平
3,26,2,低消费用户,2,CONSUME_02_26,消费水平
0,27,1,男性,1,PROFILE_01_27,性别
1,28,1,女性,1,PROFILE_01_28,性别
1,29,2,流失用户,1,CONSUME_02_29,用户忠诚度
2,30,2,复购用户,1,CONSUME_02_30,用户忠诚度
2,19,2,新用户,1,CONSUME_02_31,用户级别
2,18,2,会员,1,CONSUME_02_32,用户级别
2,17,2,充值土豪,1,CONSUME_02_33,用户级别
2,31,3,偏好下午下单,2,ACTION_02_31,下单时间段
3,32,3,偏好晚上下单,2,ACTION_02_32,下单时间段
4,33,3,偏好凌晨下单,2,ACTION_02_33,下单时间段
1,34,3,偏好上午下单,2,ACTION_02_34,下单时间段
0,35,3,不确定偏好下单时间,2,ACTION_02_35,下单时间段
6,52,1,20岁以下,1,PROFILE_01_52,年龄段
6,53,1,20-25岁,1,PROFILE_01_53,年龄段
6,54,1,25-30岁,1,PROFILE_01_54,年龄段
6,55,1,30-40岁,1,PROFILE_01_55,年龄段
6,56,1,40-50岁,1,PROFILE_01_56,年龄段
6,57,1,50岁以上,1,PROFILE_01_57,年龄段
6,58,1,学生,2,PROFILE_01_58,职业类别
6,59,1,无业,2,PROFILE_01_59,职业类别
6,60,1,军人,2,PROFILE_01_60,职业类别
6,61,1,事业单位,2,PROFILE_01_61,职业类别
6,62,1,服务业,2,PROFILE_01_62,职业类别
6,63,1,私人企业,2,PROFILE_01_63,职业类别
6,64,1,家庭主妇,2,PROFILE_01_64,职业类别
6,65,1,工厂,2,PROFILE_01_65,职业类别
6,66,1,外资企业,2,PROFILE_01_66,职业类别
6,67,1,高管,2,PROFILE_01_67,职业级别
6,68,1,老板,2,PROFILE_01_68,职业级别
6,69,1,普通员工,2,PROFILE_01_69,职业级别
6,70,1,中层管理人员,2,PROFILE_01_70,职业级别
6,71,1,技术研发人员,2,PROFILE_01_71,职业级别
6,72,1,10万以下,2,PROFILE_01_72,收入水平
6,73,1,10-20万,2,PROFILE_01_73,收入水平
6,74,1,20-30万,2,PROFILE_01_74,收入水平
6,75,1,30-40万,2,PROFILE_01_75,收入水平
6,76,1,40-50万,2,PROFILE_01_76,收入水平
6,77,1,50-100万,2,PROFILE_01_77,收入水平
6,78,1,100万以上,3,PROFILE_01_78,收入水平
6,79,3,偏好下午浏览,3,ACTION_03_79,浏览时间段
6,80,3,偏好晚上浏览,3,ACTION_03_80,浏览时间段
6,81,3,偏好凌晨浏览,3,ACTION_03_81,浏览时间段
6,82,3,偏好上午浏览,3,ACTION_03_82,浏览时间段
6,83,3,不确定偏好浏览时间,3,ACTION_03_83,浏览时间段
6,84,2,0-20元,1,CONSUME_02_84,近7天食品类消费金额
6,85,2,20-50元,1,CONSUME_02_85,近7天食品类消费金额
6,86,2,50-100元,1,CONSUME_02_86,近7天食品类消费金额
6,87,2,100-200元,1,CONSUME_02_87,近7天食品类消费金额
6,88,2,200-300元,1,CONSUME_02_88,近7天食品类消费金额
6,89,2,300元以上,1,CONSUME_02_89,近7天食品类消费金额
6,90,2,0-100元,1,CONSUME_02_90,近30天食品类消费金额
