user_sk,user_id,user_lv_cd,gender,age
1,200001,5,0,68
2,200002,1,0,50
3,200003,4,0,36
4,200004,1,0,43
5,200005,4,0,56
6,200006,2,0,30
7,200007,3,0,72
8,200008,3,1,45
9,200009,2,1,69
10,200010,3,0,28
11,200011,5,0,73
12,200012,3,0,75
13,200013,4,1,18
14,200014,4,0,19
15,200015,3,0,31
16,200016,3,0,43
17,200017,4,1,58
18,200018,2,0,38
19,200019,2,0,35
20,200020,2,0,63
21,200021,2,0,68
22,200022,5,0,52
23,200023,4,0,18
24,200024,3,1,37
25,200025,3,1,34
26,200026,2,0,50
27,200027,5,0,64
28,200028,4,1,32
29,200029,2,1,33
30,200030,2,0,73
31,200031,3,0,40
32,200032,4,0,70
33,200033,5,1,60
34,200034,4,0,75
35,200035,3,0,67
36,200036,4,0,75
37,200037,5,1,51
38,200038,5,1,53
39,200039,3,0,72
40,200040,2,0,36
41,200041,3,1,75
42,200042,2,1,74
43,200043,3,1,75
44,200044,3,1,31
45,200045,5,1,50
46,200046,3,0,73
47,200047,4,1,62
48,200048,2,0,34
49,200049,3,1,62
50,200050,3,0,58
51,200051,2,1,30
52,200052,3,0,31
53,200053,4,1,37
54,200054,5,1,18
55,200055,3,1,29
56,200056,2,1,22
57,200057,4,1,52
58,200058,3,0,16
59,200059,5,0,20
60,200060,3,0,51
61,200061,3,0,20
62,200062,4,0,51
63,200063,4,1,45
64,200064,4,0,75
65,200065,4,1,17
66,200066,2,1,42
67,200067,2,0,61
68,200068,5,1,53
69,200069,5,1,38
70,200070,3,1,55
71,200071,5,0,20
72,200072,5,0,61
73,200073,2,1,68
74,200074,5,1,31
75,200075,5,0,54
76,200076,3,1,72
77,200077,5,1,60
78,200078,3,0,66
79,200079,2,0,51
80,200080,1,0,60
81,200081,3,1,27
82,200082,3,0,16
83,200083,3,1,24
84,200084,2,1,52
85,200085,3,0,75
86,200086,3,0,38
87,200087,2,1,34
88,200088,4,1,24
89,200089,3,0,42
90,200090,3,0,32
91,200091,4,0,49
92,200092,5,1,48
93,200093,5,1,44
94,200094,2,1,43
95,200095,3,1,45
96,200096,2,1,19
97,200097,5,1,39
98,200098,3,1,30
99,200099,4,1,39
100,200100,3,1,31
101,200101,1,1,50
102,200102,3,0,30
103,200103,3,0,52
104,200104,4,0,17
105,200105,3,0,59
106,200106,2,0,70
107,200107,5,0,34
108,200108,3,0,44
109,200109,2,1,17
110,200110,2,1,71
111,200111,2,0,20
112,200112,3,1,31
113,200113,3,1,29
114,200114,3,0,48
115,200115,2,1,19
116,200116,3,0,46
117,200117,3,0,59
118,200118,4,1,17
119,200119,2,1,50
120,200120,5,1,29
121,200121,1,1,61
122,200122,4,0,54
